subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459697680,7,simple,10000,memory,6,5,background,902.9000000022352,images/stimuli/simple_11_A_a.gif,memory_background,TRUE
SS1646459697680,7,simple,10000,memory,6,6,deviant,1213,images/stimuli/simple_09_A_a.gif,memory_background,TRUE
SS1646459697680,8,complex,500,memory,NA,1,background,500,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459697680,8,complex,500,memory,NA,2,background,4202.099999997765,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459697680,8,complex,500,memory,NA,3,background,607.3999999985099,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459697680,8,complex,500,memory,NA,4,background,737.8999999985099,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459697680,8,complex,500,memory,NA,5,background,2250.7999999970198,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459697680,8,complex,500,memory,NA,6,background,1229,images/stimuli/complex_18_A_a.gif,memory_novel,TRUE
SS1646459699292,1,complex,10000,memory,NA,1,background,10000,images/stimuli/complex_18_A_a.gif,memory_novel,FALSE
SS1646459699292,1,complex,10000,memory,NA,2,background,8702.700000047684,images/stimuli/complex_18_A_a.gif,memory_background,TRUE
SS1646459699292,1,complex,10000,memory,NA,3,background,2348.300000190735,images/stimuli/complex_18_A_a.gif,memory_background,TRUE
SS1646459699292,1,complex,10000,memory,NA,4,background,1000.0999999046326,images/stimuli/complex_18_A_a.gif,memory_background,TRUE
SS1646459699292,1,complex,10000,memory,NA,5,background,3509.199999809265,images/stimuli/complex_18_A_a.gif,memory_background,TRUE
SS1646459699292,1,complex,10000,memory,NA,6,background,575.7000000476837,images/stimuli/complex_18_A_a.gif,memory_background,TRUE
SS1646459699292,2,complex,10000,memory,6,1,background,10000,images/stimuli/complex_14_A_a.gif,memory_novel,FALSE
SS1646459699292,2,complex,10000,memory,6,2,background,8492,images/stimuli/complex_14_A_a.gif,memory_background,TRUE
SS1646459699292,2,complex,10000,memory,6,3,background,581.2999999523163,images/stimuli/complex_14_A_a.gif,memory_background,TRUE
SS1646459699292,2,complex,10000,memory,6,4,background,574.8000001907349,images/stimuli/complex_14_A_a.gif,memory_background,TRUE
SS1646459699292,2,complex,10000,memory,6,5,background,724.7000000476837,images/stimuli/complex_14_A_a.gif,memory_background,TRUE
SS1646459699292,2,complex,10000,memory,6,6,deviant,3299.7999999523163,images/stimuli/complex_16_A_a.gif,memory_background,TRUE
SS1646459699292,3,simple,10000,memory,4,1,background,10000,images/stimuli/simple_05_A_a.gif,memory_novel,FALSE
SS1646459699292,3,simple,10000,memory,4,2,background,4541.600000143051,images/stimuli/simple_05_A_a.gif,memory_background,TRUE
SS1646459699292,3,simple,10000,memory,4,3,background,938.8999998569489,images/stimuli/simple_05_A_a.gif,memory_background,TRUE
SS1646459699292,3,simple,10000,memory,4,4,deviant,583.2000000476837,images/stimuli/simple_08_A_a.gif,memory_background,TRUE
SS1646459699292,3,simple,10000,memory,4,5,background,1119.8999998569489,images/stimuli/simple_05_A_a.gif,memory_background,TRUE
SS1646459699292,3,simple,10000,memory,4,6,background,911.2000000476837,images/stimuli/simple_05_A_a.gif,memory_background,TRUE
SS1646459699292,4,simple,500,memory,2,1,background,500,images/stimuli/simple_10_A_a.gif,memory_novel,TRUE
SS1646459699292,4,simple,500,memory,2,2,deviant,21389.60000014305,images/stimuli/simple_17_A_a.gif,memory_novel,TRUE
SS1646459699292,4,simple,500,memory,2,3,background,500.5,images/stimuli/simple_10_A_a.gif,memory_novel,TRUE
SS1646459699292,4,simple,500,memory,2,4,background,919.6000001430511,images/stimuli/simple_10_A_a.gif,memory_novel,TRUE
SS1646459699292,4,simple,500,memory,2,5,background,878.5999999046326,images/stimuli/simple_10_A_a.gif,memory_novel,TRUE
SS1646459699292,4,simple,500,memory,2,6,background,754.5,images/stimuli/simple_10_A_a.gif,memory_novel,TRUE
SS1646459699292,5,simple,10000,memory,2,1,background,10000,images/stimuli/simple_01_A_a.gif,memory_novel,FALSE
SS1646459699292,5,simple,10000,memory,2,2,deviant,12570.900000095367,images/stimuli/simple_03_A_a.gif,memory_background,TRUE
SS1646459699292,5,simple,10000,memory,2,3,background,934,images/stimuli/simple_01_A_a.gif,memory_background,TRUE
SS1646459699292,5,simple,10000,memory,2,4,background,650.8999998569489,images/stimuli/simple_01_A_a.gif,memory_background,TRUE
SS1646459699292,5,simple,10000,memory,2,5,background,681.6999998092651,images/stimuli/simple_01_A_a.gif,memory_background,TRUE
